                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.9338,                 2.9788,                 3.7116,                0.11364,                0.06173,                0.04154,                0.01407,                 2.3954,                 221.93,                  9.325,               0.008878,               0.008878,               0.008878
                     36,                 2.9233,                 3.0499,                 3.7102,                0.03937,                0.61728,                 0.0465,                 0.0155,                 2.4893,                 138.88,                 9.1185,               0.008845,               0.008845,               0.008845
                     37,                 2.7479,                 3.0246,                 3.5976,                 0.0365,                0.49383,                0.03694,                0.01305,                 2.4123,                 92.742,                 6.3428,               0.008812,               0.008812,               0.008812
                     38,                 2.7838,                 2.9764,                 3.5866,                0.08052,                0.38272,                0.09114,                0.03239,                 2.3265,                 192.39,                 7.6749,               0.008779,               0.008779,               0.008779
                     39,                 2.9158,                  2.958,                 3.6654,                0.02159,                0.93827,                0.03505,                0.01489,                 2.2813,                 291.56,                 6.8723,               0.008746,               0.008746,               0.008746
                     40,                   2.62,                 2.8622,                 3.4764,                0.01216,                0.95062,                 0.0328,                0.01314,                 2.2762,                  491.6,                 8.2124,               0.008713,               0.008713,               0.008713
                     41,                 2.8407,                 2.9472,                 3.5924,                 0.0369,                0.62963,                0.03447,                0.01511,                  2.241,                 84.164,                 4.5987,                0.00868,                0.00868,                0.00868
                     42,                  2.932,                  2.977,                 3.5931,                0.06817,                0.37299,                0.05559,                0.02397,                 2.2256,                  13.87,                 3.4189,               0.008647,               0.008647,               0.008647
                     43,                 2.8058,                 2.9326,                 3.5635,                0.03294,                0.74074,                 0.0527,                  0.022,                 2.1886,                 83.972,                 3.8329,               0.008614,               0.008614,               0.008614
                     44,                 2.8507,                 2.8469,                 3.5043,                 0.0068,                 0.4321,                0.00603,                 0.0028,                 2.1723,                 25.301,                 3.2604,               0.008581,               0.008581,               0.008581
