                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9822,                 3.7389,                 4.2337,                0.00272,                0.95455,                0.02164,                0.00865,                 2.4086,                 3.7574,                 4.1492,                 0.0955,                 0.0005,                 0.0005
                      1,                 2.9508,                 3.7761,                 4.2336,                0.00273,                0.95455,                0.02411,                0.00981,                 2.3951,                 3.7568,                 4.1383,               0.090089,              0.0010891,              0.0010891
                      2,                 2.8819,                 3.6391,                 4.2322,                0.00273,                0.95455,                0.03166,                0.00993,                 2.3821,                 3.7507,                 4.1264,               0.084666,              0.0016663,              0.0016663
                      3,                 2.8495,                 3.6557,                 4.2116,                0.00271,                0.95455,                0.03209,                 0.0118,                 2.3737,                 3.7488,                 4.1181,               0.079232,              0.0022317,              0.0022317
                      4,                 2.9116,                 3.5628,                 4.1942,                0.00271,                0.95455,                0.03088,                0.01122,                 2.3645,                 3.7473,                 4.1087,               0.073785,              0.0027852,              0.0027852
                      5,                 2.9102,                  3.529,                 4.1725,                0.00271,                0.95455,                0.03461,                0.01216,                 2.3532,                 3.7461,                 4.0982,               0.068327,              0.0033267,              0.0033267
                      6,                 2.9584,                 3.5761,                 4.1745,                0.00272,                0.95455,                0.05492,                 0.0172,                 2.3424,                 3.7427,                  4.088,               0.062856,              0.0038565,              0.0038565
                      7,                 2.9296,                 3.5344,                 4.1591,                0.00271,                0.95455,                0.06457,                0.01904,                 2.3319,                 3.7428,                 4.0778,               0.057374,              0.0043743,              0.0043743
                      8,                 2.9236,                 3.5096,                 4.1449,                0.00272,                0.95455,                0.07353,                0.02329,                 2.3165,                 3.7475,                 4.0666,                0.05188,              0.0048802,              0.0048802
                      9,                   2.84,                   3.46,                 4.1412,                0.00272,                0.95455,                0.06125,                0.01937,                 2.3059,                 3.7493,                 4.0576,               0.046374,              0.0053743,              0.0053743
                     10,                 2.8699,                 3.5211,                 4.1061,                0.00211,                0.63636,                0.06367,                0.01974,                 2.2949,                 3.7519,                 4.0473,               0.040857,              0.0058565,              0.0058565
                     11,                 2.9092,                  3.487,                 4.0919,                  0.002,                0.59091,                0.06248,                0.01872,                 2.2843,                 3.7621,                  4.036,               0.035327,              0.0063268,              0.0063268
                     12,                 2.8811,                 3.5041,                  4.094,                0.00211,                0.63636,                0.09214,                 0.0264,                 2.2751,                 3.7717,                  4.024,               0.029785,              0.0067852,              0.0067852
                     13,                 2.8864,                 3.5044,                 4.0825,                0.00211,                0.63636,                0.13047,                0.03427,                 2.2685,                 3.7721,                 4.0117,               0.024232,              0.0072318,              0.0072318
                     14,                 2.8641,                 3.4893,                 4.0572,                0.00212,                0.63636,                0.12726,                0.03253,                 2.2645,                  3.775,                 4.0047,               0.018666,              0.0076665,              0.0076665
                     15,                 2.9061,                 3.4516,                 4.0363,                0.00203,                0.59091,                 0.1118,                 0.0295,                   2.26,                 3.7868,                 3.9913,               0.013089,              0.0080892,              0.0080892
                     16,                 2.7381,                 3.4737,                 4.0425,                0.00217,                0.63636,                0.08911,                 0.0289,                 2.2606,                 3.7889,                  3.984,               0.008416,               0.008416,               0.008416
                     17,                 2.8852,                  3.418,                 4.0244,                0.00215,                0.63636,                0.05954,                0.02546,                 2.2595,                 3.7798,                 3.9715,               0.008416,               0.008416,               0.008416
                     18,                 2.9748,                 3.4422,                 4.0118,                0.00248,                0.72727,                0.03753,                0.01652,                 2.2661,                 3.7639,                   4.07,               0.008317,               0.008317,               0.008317
                     19,                  2.961,                 3.4296,                 4.0089,                0.00242,                0.68182,                0.04036,                0.01611,                 2.2355,                 3.7574,                  4.463,               0.008218,               0.008218,               0.008218
                     20,                 2.8032,                 3.4877,                 3.9898,                0.50784,                0.01235,                 0.0179,                0.00783,                 2.2717,                 3.8023,                 4.6177,               0.008119,               0.008119,               0.008119
                     21,                 2.8811,                 3.4341,                 3.9739,                0.00241,                0.71493,                0.02036,                0.00748,                 2.2853,                 3.9314,                  4.265,                0.00802,                0.00802,                0.00802
                     22,                 2.7573,                 3.3907,                 3.9423,                0.00292,                0.86364,                0.02379,                0.00871,                 2.3043,                 3.7131,                 4.5486,               0.007921,               0.007921,               0.007921
                     23,                 2.7728,                 3.3355,                 3.8824,                0.01004,                0.03277,                0.01642,                0.00566,                 2.2955,                 4.0242,                 5.1203,               0.007822,               0.007822,               0.007822
                     24,                   2.87,                 3.4531,                 3.8818,                0.01169,                 0.0679,                0.01088,                0.00429,                 2.3476,                 11.098,                 4.9936,               0.007723,               0.007723,               0.007723
                     25,                 2.6987,                 3.3152,                 3.8015,                0.00765,                0.06173,                0.01348,                0.00564,                 2.2864,                 3.8897,                 4.0905,               0.007624,               0.007624,               0.007624
                     26,                 2.8013,                 3.2794,                 3.7891,                0.00664,                0.48765,                0.01551,                0.00616,                 2.3471,                 3.5973,                 4.3083,               0.007525,               0.007525,               0.007525
                     27,                 2.7334,                 3.2272,                 3.7331,                0.50426,                0.07407,                0.01937,                0.00752,                 2.2251,                 4.3602,                 4.3054,               0.007426,               0.007426,               0.007426
                     28,                 2.8004,                 3.1934,                 3.7169,                0.51905,                0.05556,                0.04063,                0.01627,                 2.1473,                 3.4672,                 4.0934,               0.007327,               0.007327,               0.007327
                     29,                 2.8598,                  3.226,                  3.709,                0.56133,                0.11728,                0.06318,                0.02352,                 2.0685,                 3.9516,                 3.5637,               0.007228,               0.007228,               0.007228
                     30,                 2.7304,                 3.1717,                 3.6357,                0.57767,                0.11728,                0.07706,                0.03193,                  2.121,                 3.7957,                 3.5904,               0.007129,               0.007129,               0.007129
                     31,                 2.7851,                 3.1602,                 3.6298,                0.54224,                0.17901,                0.03681,                0.01448,                 2.0626,                 4.8022,                 3.6055,                0.00703,                0.00703,                0.00703
                     32,                 2.6856,                 3.0985,                 3.5619,                0.53342,                0.15432,                0.02599,                0.00996,                 2.1469,                 6.8129,                 3.6907,               0.006931,               0.006931,               0.006931
                     33,                 2.7115,                 3.1083,                 3.5549,                0.62174,                0.17284,                0.09802,                0.03486,                 2.1925,                 4.3953,                 3.3354,               0.006832,               0.006832,               0.006832
